Part,Value,Device,Package,Description
C1,,CPOL-USTT6D6,TT5D6,POLARIZED CAPACITOR
C2,0.1uF,C-US050-025X075,C050-025X075,CAPACITOR
C3,,CPOL-USE5-10.5,E5-10,
CONTROLS,,AK500/2-H,AK500/2-H,CONNECTOR
D1,1N4148DO35-10,1N4148DO35-10,DO35-10,DIODE
D2,1N4148DO35-10,1N4148DO35-10,DO35-10,DIODE
D3,1N4148DO35-10,1N4148DO35-10,DO35-10,DIODE
D4,1N4148DO35-10,1N4148DO35-10,DO35-10,DIODE
FAN,,AK500/2-H,AK500/2-H,CONNECTOR
GATE_DRIVER,7407N,7407N,DIL14,Hex BUFFER
INA_IN,,AK500/2-H,AK500/2-H,CONNECTOR
INDUCTOR,,AK500/2-H,AK500/2-H,CONNECTOR
JP1,,JP3Q,JP3Q,JUMPER
K1,351,351,351,RELAY
K2,351,351,351,RELAY
LM35,,JP3Q,JP3Q,JUMPER
LSIN,,JP2E,JP2,JUMPER
LSJ1,,JP4E,JP4,JUMPER
LSJ2,,JP4E,JP4,JUMPER
LSJ3,,JP4E,JP4,JUMPER
LSJ4,,JP4E,JP4,JUMPER
PWM_RELAY_IN,,JP1E,JP1,JUMPER
Q1,IRF520,IRF520,TO220BV,HEXFET Power MOSFET
Q2,IRF520,IRF520,TO220BV,HEXFET Power MOSFET
R1,330,R-US_0207/12,0207/12,RESISTOR
R2,20K,R-US_0207/12,0207/12,RESISTOR
R3,20K,R-US_0207/12,0207/12,RESISTOR
R4,3K,R-US_0207/10,0207/10,RESISTOR
R5,3K,R-US_0207/10,0207/10,RESISTOR
R6,3K,R-US_0207/10,0207/10,RESISTOR
RELAY_DRIVER,7405N,7405N,DIL14,Hex INVERTER
SUPPLY,,AK500/2-H,AK500/2-H,CONNECTOR
SUPPLY_1,,AK500/2-H,AK500/2-H,CONNECTOR
TEST_POINTS,,JP1Q,JP1,JUMPER
U$1,INA260,INA260,TSSOP16,High/Low-Side Digital Current/Power Monitor with Integrated 2mO Shunt Resistor
U1,TXS0108E_PW_20,TXS0108E_PW_20,PW20,
